user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CCGPMC024d_JNA_AS_CCGP100_S153_L001_R.bin.11	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.1%)
CCGPMC024d_JNA_AS_CCGP100_S153_L001_R.bin.2	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	17.66	4	0.41716413851536177	N/A
CCGPMC024d_JNA_AS_CCGP100_S153_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP101_S152_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.4%)
CCGPMC024d_JNA_AS_CCGP101_S152_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.0%)
CCGPMC024d_JNA_AS_CCGP101_S152_L001_R.bin.8	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.48	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	16.81	4	0.4228221177254138	N/A
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.4%)
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.5	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.57	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.64	4	0.4005167075828716	N/A
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
