-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                                   Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  CCGPMC025c_JNA_AS_CCGP10_S244_L002_R.bin.11       o__Actinomycetales (UID1696)        455         315           190         0    309    6    0    0    0       100.00           1.89               0.00
  CCGPMC025c_JNA_AS_CCGP29_S225_L002_R.bin.16       p__Actinobacteria (UID1454)         732         196           114         1    187    8    0    0    0       99.56            4.15               0.00
  CCGPMC025c_JNA_AS_CCGP37_S217_L002_R.bin.11           k__Bacteria (UID203)            5449        104            58         5     22    71   6    0    0       99.22           81.97               6.74
  CCGPMC025c_JNA_AS_CCGP03_S251_L002_R.bin.2           k__Bacteria (UID3187)            2258        185           115         2    183    0    0    0    0       99.08            0.00               0.00
  CCGPMC025c_JNA_AS_CCGP48_S302_L002_R.bin.1       o__Rhodospirillales (UID3754)         63         336           201         2    330    4    0    0    0       99.00            1.24               0.00
  CCGPMC025c_JNA_AS_CCGP38_S216_L002_R.bin.4        o__Actinomycetales (UID1590)        562         286           170         5    275    6    0    0    0       98.41            2.06              50.00
  CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.15      o__Actinomycetales (UID1663)        488         310           185         3    296    11   0    0    0       98.38            1.16              18.18
  CCGPMC025c_JNA_AS_CCGP82_S267_L002_R.bin.3        o__Actinomycetales (UID1663)        488         310           185         5    302    3    0    0    0       98.33            1.08               0.00
  CCGPMC025c_JNA_AS_CCGP17_S237_L002_R.bin.6        o__Actinomycetales (UID1663)        488         310           185         5    300    5    0    0    0       98.33            2.00               0.00
  CCGPMC025c_JNA_AS_CCGP93_S256_L002_R.bin.14           k__Bacteria (UID203)            5449        104            58         1     86    17   0    0    0       98.28            5.80              88.24
  CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.2           k__Bacteria (UID203)            5449        104            58         1     18    84   1    0    0       98.28           80.41              21.84
  CCGPMC025c_JNA_AS_CCGP07_S247_L002_R.bin.2        p__Actinobacteria (UID1454)         732         196           114         3    188    4    1    0    0       98.25            3.22              14.29
